,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date
335,surprise,Republic of the Philippines,390,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,54.54545454545454,April
336,surprise,Singapore,102,Singapore,SGP,702,Singapore,1.3,,3246.0,78.46153846153845,April
337,surprise,South Africa,1380,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,162.35294117647058,April
338,surprise,Spain,192,Spain,ESP,724,Spain,8.4,Statista,4080.0,22.857142857142858,April
339,surprise,Sri Lanka,96,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,192.0,April
340,surprise,Sweden,30,Sweden,SWE,752,Sweden,2.0,,1422.0,15.0,April
341,surprise,Switzerland,78,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,97.5,April
342,surprise,Thailand,90,Thailand,THA,764,Thailand,7.35,Statista,2736.0,12.244897959183675,April
343,surprise,The Netherlands,114,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,40.714285714285715,April
344,surprise,Turkey,24,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,1.7582417582417582,April
345,surprise,Uganda,216,Uganda,UGA,800,,,,,,April
346,surprise,United Arab Emirates,150,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,28.790786948176585,April
347,surprise,United Kingdom,5484,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,308.9577464788732,April
348,surprise,United States,17850,United States,USA,840,United States,64.2,Statista,454626.0,278.03738317757006,April
349,worry,Australia,1818,Australia,AUS,36,Australia,5.0,Statista,22578.0,363.6,April
350,worry,Belgium,198,Belgium,BEL,56,Belgium,1.0,,2268.0,198.0,April
351,worry,Brazil,126,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,8.78048780487805,April
352,worry,Canada,3900,Canada,CAN,124,Canada,8.15,Statista,38382.0,478.5276073619632,April
353,worry,China,288,China,CHN,156,China,2.0,NY Times,7482.0,144.0,April
354,worry,France,240,France,FRA,250,France,8.9,Statista,3192.0,26.96629213483146,April
355,worry,Germany,306,Germany,DEU,276,Germany,6.1,Statista,4140.0,50.16393442622951,April
356,worry,Ghana,720,Ghana,GHA,288,Ghana,2.0,,6312.0,360.0,April
357,worry,Hong Kong,120,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,80.0,April
358,worry,India,12090,India,IND,356,India,13.15,Statista,90480.0,919.3916349809886,April
359,worry,Indonesia,282,Indonesia,IDN,360,Indonesia,11.8,,3954.0,23.89830508474576,April
360,worry,Ireland,1164,Ireland,IRL,372,Ireland,2.5,,12138.0,465.6,April
361,worry,Italy,198,Italy,ITA,380,Italy,2.5,,3822.0,79.2,April
362,worry,Japan,270,Japan,JPN,392,Japan,48.45,Statista,4314.0,5.572755417956656,April
363,worry,Kenya,1308,Kenya,KEN,404,Kenya,8.2,google,9228.0,159.51219512195124,April
364,worry,Kingdom of Saudi Arabia,168,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,11.2,April
365,worry,Malaysia,462,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,118.46153846153847,April
366,worry,Mexico,150,Mexico,MEX,484,Mexico,25.7,,1746.0,5.836575875486382,April
367,worry,New Zealand,444,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,493.3333333333333,April
368,worry,Nigeria,4968,Nigeria,NGA,566,Nigeria,8.4,,38400.0,591.4285714285714,April
369,worry,Pakistan,756,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,290.7692307692308,April
370,worry,Republic of Korea,78,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,12.892561983471074,April
371,worry,Republic of the Philippines,870,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,121.67832167832167,April
372,worry,Singapore,180,Singapore,SGP,702,Singapore,1.3,,3246.0,138.46153846153845,April
373,worry,South Africa,3468,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,408.0,April
374,worry,Spain,390,Spain,ESP,724,Spain,8.4,Statista,4080.0,46.42857142857142,April
375,worry,Sri Lanka,162,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,324.0,April
376,worry,Sweden,156,Sweden,SWE,752,Sweden,2.0,,1422.0,78.0,April
377,worry,Switzerland,138,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,172.5,April
378,worry,Thailand,222,Thailand,THA,764,Thailand,7.35,Statista,2736.0,30.20408163265306,April
379,worry,The Netherlands,246,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,87.85714285714286,April
380,worry,Turkey,138,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,10.10989010989011,April
381,worry,Uganda,666,Uganda,UGA,800,,,,,,April
382,worry,United Arab Emirates,318,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,61.036468330134355,April
383,worry,United Kingdom,14706,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,828.5070422535211,April
384,worry,United States,39150,United States,USA,840,United States,64.2,Statista,454626.0,609.8130841121495,April
